date,EFFR,us employment cost index,us unemployment rate,"Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States, Percent, Quarterly, Not Seasonally Adjusted",adults investing money in the stock market(%),HSCI,CCMP Index,NYA Index,us market cap,gdp change %,us bankruptcy_prc_chg,hk bankruptcy_prc_chg,fd_change
2002-09-30,1.75,92.0,5.776667329,4.26,60,3010680000000.0,24300000000000.0,35400000000000.0,59700000000000.0,0.8870755897151562,0.15473463010936245,18.297455968688844,0.7672353386396809
2002-12-31,1.24,92.3,5.938094585,4.006666667,60,3105600000000.0,21700000000000.0,33300000000000.0,54900000000000.0,0.7045950306080461,-1.5392244322287731,8.919216983733111,2.1298494248941027
2003-03-31,1.25,93.3,5.95635992,3.92,60,3050630000000.0,20800000000000.0,30900000000000.0,51700000000000.0,1.0188191710784662,4.514728101455474,13.302113656499175,-0.157519528484407
2003-06-30,1.22,93.8,6.22858413,3.62,60,3548520000000.0,17800000000000.0,27000000000000.0,44800000000000.0,1.2406962547147862,6.6080180546676734,-25.011170688114387,1.9750407564564372
2003-09-30,1.01,94.7,6.151129708,4.233333333,60,4227630000000.0,15800000000000.0,25000000000000.0,40800000000000.0,2.2443936345894566,-6.193655069652499,-23.849247728288393,-0.5352689853854325
2003-12-31,0.98,95.2,5.935679603,4.286666667,60,4854890000000.0,12000000000000.0,21800000000000.0,33700000000000.0,1.777218661656182,-4.755816740881719,-18.91627543035994,1.3628517560027302
2004-03-31,1.0,95.7,5.774675671,4.02,61,5118620000000.0,13900000000000.0,29500000000000.0,43400000000000.0,1.28448856860983,3.6161363474582306,13.100120627261761,0.6097099386219038
2004-06-30,1.03,96.4,5.653163034,4.6,61,4968140000000.0,12400000000000.0,27700000000000.0,40100000000000.0,1.588198446305002,3.3216217011963534,-26.706484641638223,0.4142819163611055
2004-09-30,1.61,97.2,5.484615266,4.303333333,61,5329890000000.0,12400000000000.0,27800000000000.0,40100000000000.0,1.5891599103924248,-5.858801738263161,-9.458672875436553,-0.14726532585949903
2004-12-31,2.16,97.7,5.483774791,4.173333333,61,5825410000000.0,12000000000000.0,27100000000000.0,39100000000000.0,1.8033438743137349,-6.248139683884996,-24.20443587270974,1.1184591112060474
2005-03-31,2.63,98.3,5.337325177,4.296666667,62,5831280000000.0,10300000000000.0,24500000000000.0,34800000000000.0,1.916403759048102,7.932079167428996,14.546225614927904,0.4549852540844264
2005-06-30,3.04,98.8,5.177787405,4.16,62,6203500000000.0,12600000000000.0,28100000000000.0,40700000000000.0,1.2169383532255862,16.498607749240307,-10.773787486116253,-0.44570109969921046
2005-09-30,3.62,99.4,5.031404214,4.213333333,62,6757780000000.0,11800000000000.0,27100000000000.0,38800000000000.0,1.7023280663046276,15.977686146709091,2.572614107883817,-0.466627408642239
2005-12-31,4.16,100.1,5.023263906,4.49,62,6668960000000.0,11100000000000.0,27200000000000.0,38300000000000.0,1.3814726141060518,23.141796524736073,-9.911003236245955,1.593013484748477
2006-03-31,4.59,100.8,4.793032998,4.57,61,8390910000000.0,10800000000000.0,28000000000000.0,38800000000000.0,2.0635829352357566,-82.50440869543068,13.381230354737314,0.3854202408085664
2006-06-30,4.99,101.6,4.7469841,5.07,61,8822880000000.0,10100000000000.0,27000000000000.0,37000000000000.0,1.134364181317089,33.451798819912476,1.0693069306930694,-0.5442161841120728
2006-09-30,5.25,102.5,4.705609189,4.896666667,61,9433300000000.0,9520000000000.0,25600000000000.0,35100000000000.0,0.8489813154891408,9.826545083518894,5.760188087774295,0.18192978862626336
2006-12-31,5.24,103.3,4.51430487,4.63,61,11389800000000.0,9200000000000.0,25100000000000.0,34300000000000.0,1.2211225976172737,3.7704649831138326,-5.594664690626158,0.8055885268567552
2007-03-31,5.26,104.3,4.575912176,4.68,65,11999100000000.0,8390000000000.0,24200000000000.0,32600000000000.0,1.2542487086489915,9.032708517502915,6.593406593406594,0.6891499798873902
2007-06-30,5.25,105.1,4.565462341,4.846666667,65,13812900000000.0,8310000000000.0,23600000000000.0,31900000000000.0,1.3114489093746076,8.679979962921076,-3.571428571428571,-1.09357031479783
2007-09-30,4.94,105.9,4.721242929,4.73,65,17559800000000.0,7620000000000.0,23100000000000.0,30800000000000.0,1.1250803876828352,4.01997633630951,30.584192439862544,0.44836800510101116
2007-12-31,4.24,106.7,4.86339259,4.26,65,17745400000000.0,7640000000000.0,22700000000000.0,30400000000000.0,1.036389641747596,3.427908400294186,-32.60233918128655,1.4082530373530247
2008-03-31,2.61,107.6,5.013964719,3.663333333,62,15122300000000.0,7890000000000.0,22700000000000.0,30600000000000.0,-0.057899873721193866,8.516295442399509,5.5531453362255965,2.31753445992012
2008-06-30,2.0,108.4,5.414011024,3.886666667,62,14599100000000.0,7280000000000.0,22100000000000.0,29400000000000.0,1.0822601485135295,12.541972771118665,13.27579120427456,-0.5003055812760532
2008-09-30,1.81,109.0,6.105798658,3.863333333,62,11297700000000.0,7920000000000.0,24600000000000.0,32500000000000.0,0.22399212791916565,5.707207695924199,7.474600870827286,5.3762529811256385
2008-12-31,0.16,109.5,6.991740697,3.253333333,62,9297640000000.0,7790000000000.0,24800000000000.0,32600000000000.0,-1.951741858630899,3.0880184473692314,-11.309925725860905,8.858794478078549
2009-03-31,0.18,109.8,8.403643628,2.736666667,57,9132240000000.0,7450000000000.0,24700000000000.0,32200000000000.0,-1.2137490639680792,9.677515706050437,58.20327369623144,5.269714103937272
